subject,relation,object,sentence
patients,were transferred to,intensive care unit,"Thirty-six patients (26.1%) were transferred to the intensive care unit (ICU) because of complications, including acute respiratory distress syndrome (22 [61.1%]), arrhythmia (16 [44.4%]), and shock (11 [30.6%])."
Thirty-six patients,were transferred to,ICU,"Thirty-six patients (26.1%) were transferred to the intensive care unit (ICU) because of complications, including acute respiratory distress syndrome (22 [61.1%]), arrhythmia (16 [44.4%]), and shock (11 [30.6%])."
patients,were transferred because of,complications,"Thirty-six patients (26.1%) were transferred to the intensive care unit (ICU) because of complications, including acute respiratory distress syndrome (22 [61.1%]), arrhythmia (16 [44.4%]), and shock (11 [30.6%])."
patients,were,transferred,"Thirty-six patients (26.1%) were transferred to the intensive care unit (ICU) because of complications, including acute respiratory distress syndrome (22 [61.1%]), arrhythmia (16 [44.4%]), and shock (11 [30.6%])."
Thirty-six patients,were transferred because of,complications including distress syndrome,"Thirty-six patients (26.1%) were transferred to the intensive care unit (ICU) because of complications, including acute respiratory distress syndrome (22 [61.1%]), arrhythmia (16 [44.4%]), and shock (11 [30.6%])."
Thirty-six patients,were,transferred,"Thirty-six patients (26.1%) were transferred to the intensive care unit (ICU) because of complications, including acute respiratory distress syndrome (22 [61.1%]), arrhythmia (16 [44.4%]), and shock (11 [30.6%])."
patients,were transferred because of,complications including distress syndrome,"Thirty-six patients (26.1%) were transferred to the intensive care unit (ICU) because of complications, including acute respiratory distress syndrome (22 [61.1%]), arrhythmia (16 [44.4%]), and shock (11 [30.6%])."
Thirty-six patients,were transferred to,intensive care unit,"Thirty-six patients (26.1%) were transferred to the intensive care unit (ICU) because of complications, including acute respiratory distress syndrome (22 [61.1%]), arrhythmia (16 [44.4%]), and shock (11 [30.6%])."
Thirty-six patients,were transferred because of,complications including respiratory distress syndrome,"Thirty-six patients (26.1%) were transferred to the intensive care unit (ICU) because of complications, including acute respiratory distress syndrome (22 [61.1%]), arrhythmia (16 [44.4%]), and shock (11 [30.6%])."
patients,were transferred because of,complications including acute respiratory distress syndrome,"Thirty-six patients (26.1%) were transferred to the intensive care unit (ICU) because of complications, including acute respiratory distress syndrome (22 [61.1%]), arrhythmia (16 [44.4%]), and shock (11 [30.6%])."
patients,were transferred to,care unit,"Thirty-six patients (26.1%) were transferred to the intensive care unit (ICU) because of complications, including acute respiratory distress syndrome (22 [61.1%]), arrhythmia (16 [44.4%]), and shock (11 [30.6%])."
patients,were transferred to,ICU,"Thirty-six patients (26.1%) were transferred to the intensive care unit (ICU) because of complications, including acute respiratory distress syndrome (22 [61.1%]), arrhythmia (16 [44.4%]), and shock (11 [30.6%])."
Thirty-six patients,were transferred to,care unit,"Thirty-six patients (26.1%) were transferred to the intensive care unit (ICU) because of complications, including acute respiratory distress syndrome (22 [61.1%]), arrhythmia (16 [44.4%]), and shock (11 [30.6%])."
Thirty-six patients,were transferred because of,complications,"Thirty-six patients (26.1%) were transferred to the intensive care unit (ICU) because of complications, including acute respiratory distress syndrome (22 [61.1%]), arrhythmia (16 [44.4%]), and shock (11 [30.6%])."
two patients,presented with,decreased blood cell counts,"There were two patients presented with decreased white blood cell counts, five patients with elevated C reactive protein, six patients with abnormal alanine aminotransferase, three patients with abnormal aspartate aminotransferase,10 patients with elevated creatine kinase, three patients with elevated creatine kinase isoenzyme, four patients with elevated lactate dehydrogenase, and all with normal procalcitonin levels."
six patients,is with,abnormal alanine aminotransferase,"There were two patients presented with decreased white blood cell counts, five patients with elevated C reactive protein, six patients with abnormal alanine aminotransferase, three patients with abnormal aspartate aminotransferase,10 patients with elevated creatine kinase, three patients with elevated creatine kinase isoenzyme, four patients with elevated lactate dehydrogenase, and all with normal procalcitonin levels."
three patients,is with,abnormal aspartate aminotransferase,"There were two patients presented with decreased white blood cell counts, five patients with elevated C reactive protein, six patients with abnormal alanine aminotransferase, three patients with abnormal aspartate aminotransferase,10 patients with elevated creatine kinase, three patients with elevated creatine kinase isoenzyme, four patients with elevated lactate dehydrogenase, and all with normal procalcitonin levels."
two patients,presented with,blood cell counts,"There were two patients presented with decreased white blood cell counts, five patients with elevated C reactive protein, six patients with abnormal alanine aminotransferase, three patients with abnormal aspartate aminotransferase,10 patients with elevated creatine kinase, three patients with elevated creatine kinase isoenzyme, four patients with elevated lactate dehydrogenase, and all with normal procalcitonin levels."
three patients,is with,elevated creatine kinase isoenzyme,"There were two patients presented with decreased white blood cell counts, five patients with elevated C reactive protein, six patients with abnormal alanine aminotransferase, three patients with abnormal aspartate aminotransferase,10 patients with elevated creatine kinase, three patients with elevated creatine kinase isoenzyme, four patients with elevated lactate dehydrogenase, and all with normal procalcitonin levels."
two patients,presented with,decreased white blood cell counts,"There were two patients presented with decreased white blood cell counts, five patients with elevated C reactive protein, six patients with abnormal alanine aminotransferase, three patients with abnormal aspartate aminotransferase,10 patients with elevated creatine kinase, three patients with elevated creatine kinase isoenzyme, four patients with elevated lactate dehydrogenase, and all with normal procalcitonin levels."
two patients,presented with,decreased white blood cell counts,"There were two patients presented with decreased white blood cell counts, five patients with elevated C reactive protein, six patients with abnormal alanine aminotransferase, three patients with abnormal aspartate aminotransferase,10 patients with elevated creatine kinase, three patients with elevated creatine kinase isoenzyme, four patients with elevated lactate dehydrogenase, and all with normal procalcitonin levels."
two patients,presented with,decreased blood cell counts,"There were two patients presented with decreased white blood cell counts, five patients with elevated C reactive protein, six patients with abnormal alanine aminotransferase, three patients with abnormal aspartate aminotransferase,10 patients with elevated creatine kinase, three patients with elevated creatine kinase isoenzyme, four patients with elevated lactate dehydrogenase, and all with normal procalcitonin levels."
",10 patients",is with,elevated creatine kinase,"There were two patients presented with decreased white blood cell counts, five patients with elevated C reactive protein, six patients with abnormal alanine aminotransferase, three patients with abnormal aspartate aminotransferase,10 patients with elevated creatine kinase, three patients with elevated creatine kinase isoenzyme, four patients with elevated lactate dehydrogenase, and all with normal procalcitonin levels."
two patients,presented with,white blood cell counts,"There were two patients presented with decreased white blood cell counts, five patients with elevated C reactive protein, six patients with abnormal alanine aminotransferase, three patients with abnormal aspartate aminotransferase,10 patients with elevated creatine kinase, three patients with elevated creatine kinase isoenzyme, four patients with elevated lactate dehydrogenase, and all with normal procalcitonin levels."
two patients,presented with,white blood cell counts,"There were two patients presented with decreased white blood cell counts, five patients with elevated C reactive protein, six patients with abnormal alanine aminotransferase, three patients with abnormal aspartate aminotransferase,10 patients with elevated creatine kinase, three patients with elevated creatine kinase isoenzyme, four patients with elevated lactate dehydrogenase, and all with normal procalcitonin levels."
four patients,is with,elevated lactate dehydrogenase,"There were two patients presented with decreased white blood cell counts, five patients with elevated C reactive protein, six patients with abnormal alanine aminotransferase, three patients with abnormal aspartate aminotransferase,10 patients with elevated creatine kinase, three patients with elevated creatine kinase isoenzyme, four patients with elevated lactate dehydrogenase, and all with normal procalcitonin levels."
